year,id,samptype,panelid,panelwave,intage,intsex,intethn,intyrs,lngthinv,coop,comprend,daysint,spaneng,mode,feeused,egp10_11,spegp10_11,paegp10_11,maegp10_11,parborn,family16,reg16,incom16,age,sex,born,relig,class,spdeg,madeg,padeg,wrkstat,degree,uscitzn,realinc,realrinc,region,wordsum,dwelown,size,xnorcsiz,marital,racehisp5,evercitzn
2006,4031,2006,20064031,1,61,2,1,8.4,79,1,1,60,2,1,3,4,,9,,8,1,0,,41,2,2,2,2,,0,0,2,0,,9.510584,8.76337,5,8,1,3,10,4,3,0
2006,3984,2006,20063984,1,53,2,2,.4,96,1,2,19,1,1,3,11,5,10,10,0,1,7,3,44,2,1,1,3,,1,1,7,1,,8.04775,,7,,1,4,10,3,2,1
2006,408,2006,2006408,1,64,2,1,5.8,120,1,2,17,1,1,3,2,,10,10,0,3,3,1,44,1,1,1,2,,1,1,1,2,,9.510584,9.510584,3,,,53,3,4,2,1
2006,2913,2006,20062913,1,61,2,1,2,77,1,1,30,1,1,3,2,9,9,,0,1,9,2,46,2,1,1,2,1,1,1,1,1,,10.55513,9.824242,8,8,,35,7,1,1,1
2006,2809,2006,20062809,1,66,1,4,1,71,1,1,13,1,1,3,10,10,11,10,0,3,5,1,77,2,1,1,1,0,0,0,5,0,,,,5,,1,4,5,1,2,1
2006,3370,2006,20063370,1,64,,,13.6,118,1,1,112,1,2,1,5,10,8,3,0,1,4,3,33,2,1,1,2,2,1,1,1,1,,10.14966,9.131094,4,,,2,6,1,1,1
2006,2120,2006,20062120,1,69,2,1,11.5,140,1,1,30,1,1,3,4,5,9,,0,1,3,3,60,2,1,2,3,1,0,1,1,1,,,8.96404,3,,,4,5,1,1,1
2006,2506,2006,20062506,1,63,1,1,11.1,86,1,1,95,1,1,1,4,,4,3,0,1,5,4,48,2,1,1,2,,1,1,1,4,,10.14966,9.967342,5,,1,132,2,5,2,1
2006,1809,2006,20061809,1,65,1,1,1,86,1,1,51,1,1,1,2,,9,2,0,1,2,3,78,2,1,1,3,,3,0,5,2,,9.824242,,2,,1,4,6,2,1,1
2006,2757,2006,20062757,1,52,1,4,2,111,1,1,67,1,1,1,12,3,2,3,0,3,5,4,39,1,1,4,3,1,1,1,1,4,,10.55513,10.55513,5,,,4,5,1,1,1
2006,1680,2006,20061680,1,53,2,2,2,92,1,1,105,1,1,1,5,,9,,0,1,3,3,54,1,1,2,2,,0,1,8,1,,8.76337,,3,7,1,3,5,3,1,1
2006,1028,2006,20061028,1,44,,,.9,30,3,2,31,2,1,3,10,10,11,,0,1,0,1,34,1,2,2,2,0,0,0,1,0,,9.399358,9.274195,7,6,2,11,5,1,3,0
2006,4143,2006,20064143,1,54,1,1,.4,126,1,1,113,1,1,3,10,10,,10,2,5,1,1,55,1,1,2,1,0,0,,8,2,,9.399358,,6,,1,6,10,1,1,1
2006,758,2006,2006758,1,45,2,3,.4,81,1,1,14,2,1,3,3,10,,,8,8,0,2,36,2,2,1,2,,,,7,2,,9.131094,8.96404,5,,1,22,3,2,3,0
2006,884,2006,2006884,1,40,2,2,2.2,78,1,1,27,1,1,2,2,10,10,10,0,3,4,4,42,2,1,1,3,,1,1,1,1,,10.35033,10.14966,7,6,1,192,2,5,2,1
2006,3879,2006,20063879,1,56,2,1,3.5,200,1,1,44,1,1,3,3,5,10,,0,1,7,2,58,1,1,4,2,2,0,0,5,3,,10.55513,,7,,,0,10,1,1,1
2006,2164,2006,20062164,1,49,2,1,5.3,157,1,1,131,1,1,1,3,,10,,0,1,3,2,57,2,1,1,2,,1,1,1,3,,9.824242,9.824242,3,,2,198,2,5,1,1
2006,3685,2006,20063685,1,51,2,2,2,109,1,1,92,1,1,1,3,2,9,10,0,1,5,2,43,2,1,1,2,1,0,0,1,1,,10.7558,9.657187,5,8,,8,5,1,1,1
2006,2114,2006,20062114,1,56,2,1,11.3,194,1,2,91,1,1,1,10,,,,0,5,3,2,82,2,1,1,3,,0,,7,0,,8.540226,,3,3,,711,1,2,1,1
2006,1163,2006,20061163,1,62,1,3,1,105,1,2,17,1,1,3,8,,10,10,0,1,6,3,48,1,1,1,2,,1,1,1,2,,9.824242,9.824242,5,5,,99,5,5,2,1
