year,id,wt_pooled,wt_pooled_insc,wt_no_pooling,wt_no_pooling_insc,wt_shrunken,wt_shrunken_insc
2006,760,4.81146,4.709555,4.413046,4.510948,4.709258,4.659903
2006,763,4.226051,4.267316,4.120306,4.076186,4.217862,4.232797
2006,772,2.731702,2.64528,2.596905,2.604473,2.699359,2.636648
2006,778,.6500461,.5886635,.5959138,.5674065,.6382572,.584678
2006,780,.5484637,.5101321,.5667084,.5171894,.5550157,.513213
2006,781,2.363721,2.344041,2.591444,2.589569,2.427802,2.407882
2006,792,1.320159,1.248642,1.35373,1.245398,1.333494,1.251578
2006,794,.9533446,.8566061,.8361627,.7801343,.9270508,.8402274
2006,798,.9190673,.8619324,.8678278,.8639936,.9098639,.8647129
2006,801,1.040724,1.026608,.9771464,.9737878,1.028424,1.015708
2006,805,.9743381,.977081,.9010565,.9030318,.9638198,.965285
2006,819,.8653461,.8545232,.8028866,.8045439,.8533143,.8443236
2006,821,1.267033,1.139811,1.302031,1.115111,1.280467,1.136985
2006,822,2.099545,2.08409,1.984229,2.019647,2.077828,2.072295
2006,823,1.128787,1.056505,1.369942,1.269889,1.187051,1.106172
2006,825,.9144196,.8866281,.8734722,.8501602,.908101,.8802434
2006,826,.8986247,.8521145,.9216332,.8753942,.907717,.859872
2006,828,.5981284,.5536425,.6434548,.5822858,.6112547,.5618998
2006,829,.9051402,.7019123,.5995202,.5241008,.8128693,.6553397
2006,830,.6388018,.6069211,.6106341,.5579029,.6345685,.596595
2006,836,.6318221,.6046903,.692664,.6592344,.6482856,.6188467
2006,838,2.707422,2.610919,2.628351,2.640306,2.697146,2.624179
2006,839,.7531931,.7052699,.7938046,.73507,.7657747,.7141945
2006,852,1.546385,1.486473,1.537326,1.494355,1.550049,1.492027
2006,853,.7794836,.7437406,.8184217,.7211867,.7915578,.7407957
2006,854,3.258177,2.805946,2.833894,2.6249,3.162871,2.769885
2006,856,1.312336,1.240599,1.41206,1.291584,1.340109,1.255767
2006,857,1.013664,.9924886,1.031527,.9861162,1.022064,.9939297
2006,859,3.811141,3.666398,3.114135,3.063581,3.625605,3.50585
2006,860,.8161856,.7139999,.6345783,.577952,.7688741,.6807157
2006,861,1.420576,1.303628,1.404621,1.289423,1.422939,1.304119
2006,862,2.780259,2.513332,2.628818,2.629778,2.749352,2.547851
2006,864,1.364898,1.304792,1.443191,1.384593,1.389605,1.328226
2006,865,.739253,.6395839,.83318,.6939366,.7647571,.6542732
2006,874,2.796512,2.598811,3.18855,2.974632,2.891204,2.685009
2006,880,2.307641,1.894778,2.286476,1.809326,2.310992,1.877536
2006,882,.6273577,.5579364,.6561849,.5691353,.6368128,.5620023
2006,883,2.498816,2.248362,3.067057,2.783628,2.640871,2.376137
2006,884,1.220027,1.15081,1.458289,1.295482,1.286597,1.191012
2006,895,1.779994,1.676941,2.178763,2.226317,1.867937,1.788223
2006,908,.6295296,.5979173,.6914749,.6533753,.6466182,.6125464
2006,910,.5644994,.5372929,.615317,.5774471,.5788681,.5484457
2006,916,.8976935,.8418572,.8949195,.8379846,.9011925,.8434051
2006,917,.8876323,.8486969,.9697356,.9116293,.9094834,.8651893
2006,920,.5255161,.5009146,.5504543,.5280693,.5333645,.5084399
2006,925,.524981,.523932,.6660374,.633719,.5560232,.5482414
2006,927,1.280158,1.253117,1.014506,.9975184,1.215843,1.192275
2006,929,1.103137,.9609105,1.026767,.892643,1.087129,.944609
2006,941,.6242632,.5654308,.6669767,.5798607,.6366872,.5703686
2006,942,.87502,.8459394,.8844193,.8775119,.8812878,.8553954
2006,947,.5580198,.5309235,.5769928,.5433256,.5647371,.5352964
2006,951,.7342392,.5819296,.8164809,.5949405,.7558408,.58654
2006,955,1.914893,1.744285,2.488631,2.205434,2.047274,1.850968
2006,965,.4621663,.4437367,.4703077,.459172,.4660115,.4485415
2006,969,1.010981,.9894094,.9714208,1.008869,1.00407,.9965914
2006,977,2.135214,2.105023,1.937583,1.897552,2.093854,2.058714
2006,979,1.298329,1.229074,1.030201,1.024402,1.232898,1.183971
2006,985,2.559066,2.524,2.199787,2.178736,2.482943,2.448756
2006,986,2.224028,2.22087,2.327103,2.319714,2.258203,2.250676
2006,1006,1.397033,1.378358,1.460422,1.440487,1.417474,1.396575
2006,1007,.9597983,.9301655,.938742,.9159745,.9586562,.9295807
2006,1010,2.041144,2.028884,1.923127,1.882588,2.017459,1.995193
2006,1011,1.093287,1.116861,1.067088,1.069973,1.092233,1.109477
2006,1014,1.436742,1.370411,1.504524,1.43155,1.458533,1.3886
2006,1019,1.232138,1.177099,2.088499,2.079675,1.381018,1.336867
2006,1020,1.033738,1.037908,1.024703,1.050547,1.035155,1.043344
2006,1024,.9702097,.9641079,.9898784,.9950246,.9786859,.9740538
2006,1025,.9019485,.8962477,.8883615,.8879882,.9021058,.8965685
2006,1027,3.876537,3.116145,3.985485,3.041436,3.918291,3.100624
2006,1029,4.770737,4.438141,4.531021,4.519882,4.728311,4.469107
2006,1032,6.528665,5.77853,6.520524,6.472459,6.553446,5.944058
2006,1042,2.621315,2.354331,2.986141,2.674457,2.724906,2.442468
2006,1046,2.331834,2.266918,2.46851,2.397466,2.374558,2.304569
2006,1049,1.068713,.9994117,1.16033,1.104592,1.094353,1.026296
